NUEVO CASAS GRANDES (NCG) / MOCTEZUMA (MCZ) | PR-21 93920P1 NCG FB Cambio No Comandado OPERAD
NUEVO CASAS GRANDES (NCG) / MOCTEZUMA (MCZ) | PR-21F 93920P1 NCG Z1 Cambio No Comandado OPERAD
NUEVO CASAS GRANDES (NCG) / MOCTEZUMA (MCZ) | PR-EDTL 93920 NCG FO Cambio No Comandado OPERAD
NUEVO CASAS GRANDES (NCG) / MOCTEZUMA (MCZ) | PR-RDTL 93920 MCZ FO OPERAD
NUEVO CASAS GRANDES (NCG) / MOCTEZUMA (MCZ) | PR-21 93920P2 MCZ FA Cambio No Comandado OPERAD
NUEVO CASAS GRANDES (NCG) / MOCTEZUMA (MCZ) | PR-21 93920P2 MCZ FB Cambio No Comandado OPERAD
NUEVO CASAS GRANDES (NCG) / MOCTEZUMA (MCZ) | PR-21 93920P2 MCZ FC Cambio No Comandado OPERAD
NUEVO CASAS GRANDES (NCG) / MOCTEZUMA (MCZ) | PR-21 93920P1 NCG FA Cambio No Comandado OPERAD
NUEVO CASAS GRANDES (NCG) / MOCTEZUMA (MCZ) | PR-21 93920P1 NCG FB Cambio No Comandado OPERAD
NUEVO CASAS GRANDES (NCG) / MOCTEZUMA (MCZ) | PR-RDTL 93920 MCZ FO OPERAD
NUEVO CASAS GRANDES (NCG) / MOCTEZUMA (MCZ) | PR-21 93920P2 MCZ FA Cambio No Comandado OPERAD
NUEVO CASAS GRANDES (NCG) / MOCTEZUMA (MCZ) | PR-21 93920P2 MCZ FB Cambio No Comandado OPERAD
NUEVO CASAS GRANDES (NCG) / MOCTEZUMA (MCZ) | PR-21 93920P2 MCZ FC Cambio No Comandado OPERAD
MOCTEZUMA (MCZ) / NUEVO CASAS GRANDES (NCG) | PR-21N 93920P1 NCG Z1 OPERAD
MOCTEZUMA (MCZ) / NUEVO CASAS GRANDES (NCG) | PR-21N 93920P1 NCG Z1 OPERAD
MOCTEZUMA (MCZ) / NUEVO CASAS GRANDES (NCG) | PR-67N 93920 NCG P1 OPERAD
MOCTEZUMA (MCZ) / NUEVO CASAS GRANDES (NCG) | PR-21N 93920P1 NCG Z2 OPERAD
MOCTEZUMA (MCZ) / NUEVO CASAS GRANDES (NCG) | PR-21N 93920P1 NCG Z2 Cambio No Comandado OPERAD
REFORMA (REA) / NORTE CERESO (NCE) | IN-93280 NCE Anormal Cambio Autorizado ABIERTO
NORTE CERESO (NCE) / REFORMA (REA) | IN-93280 REA LT Anormal Cambio Autorizado ABIERTO
NORTE CERESO (NCE) / MEDANOS (MED) | IN-98850 MEDIO LT Anormal Cambio Autorizado ABIERTO
MOCTEZUMA (MCZ) | IN-99000 Anormal Cambio Autorizado ABIERTO
NUEVO CASAS GRANDES (NCG) / MOCTEZUMA (MCZ) | IN-93920 MCZ CERRADO RTN
NUEVO CASAS GRANDES (NCG) / MOCTEZUMA (MCZ) | IN-93920 MCZ Anormal Cambio Autorizado ABIERTO
MOCTEZUMA (MCZ) / NUEVO CASAS GRANDES (NCG) | IN-93920 NCG LT CERRADO RTN
NUEVO CASAS GRANDES (NCG) / MOCTEZUMA (MCZ) | IN-93920 MCZ CERRADO RTN
NORTE CERESO (NCE) / REFORMA (REA) | IN-93280 REA LT CERRADO RTN
NORTE CERESO (NCE) / MEDANOS (MED) | IN-98850 MEDIO LT CERRADO RTN
REFORMA (REA) | IN-97000 TRANSFE CERRADO RTN
MOCTEZUMA (MCZ) | IN-99000 CERRADO RTN
LA SALADA (LSA) | IN-72010 T-01 ABIERTO
LA SALADA (LSA) | IN-72010 T-01 CERRADO RTN
PALOMAS (PMS) | IN-75010 CP 01 B Anormal Cambio Autorizado ABIERTO
ASENCION (AON) | IN-75010 CP 01 B Anormal Cambio Autorizado ABIERTO
CUADRO DE MANIOBRAS BISMARK (CMB) / BISMARCK (BSM) | IN-73810 BSM ABIERTO
CUADRO DE MANIOBRAS BISMARK (CMB) / LA SALADA (LSA) | IN-73860 LSA ABIERTO
RIVEREÑA (RVA) | IN-75010 CP Cambio No Comandado ABIERT
RIVEREÑA (RVA) | PR-59X 75010 OPERAD
RIVEREÑA (RVA) | PR-86C 75010 Cambio No Comandado OPERAD
MOCTEZUMA (MCZ) | IN-A4030 RE 03 RE Anormal Cambio Autorizado ABIERTO
NUEVO CASAS GRANDES (NCG) | IN-94020 RE 02 Anormal Cambio Autorizado ABIERTO
PALOMAS (PMS) | IN-75010 CP 01 B CERRADO RTN
SAMALAYUCA (SYC) | IN-90010 CERRADO RTN
SAMALAYUCA (SYC) | IN-91010 CERRADO RTN
ASENCION (AON) | IN-75010 CP 01 B CERRADO RTN
MEDANOS (MED) / ORIENTE XXI (OTV) | IN-73620 OTV ABIERTO
PATRIA (PAT) | IN-78460 ANILLO LT/T Anormal Cambio Autorizado ABIERTO
RIVEREÑA (RVA) | IN-75010 CP CERRADO RTN
REFORMA (REA) | IN-99000 AMARRE Anormal Cambio Autorizado ABIERTO
REFORMA (REA) | IN-79000 AMARRE Anormal Cambio Autorizado ABIERTO
CUADRO DE MANIOBRAS BISMARK (CMB) / LA SALADA (LSA) | IN-73860 LSA CERRADO RTN
CUADRO DE MANIOBRAS BISMARK (CMB) / LA SALADA (LSA) | IN-73810 BSM Cambio No Comandado CERRAD RTN
REFORMA (REA) | IN-99000 AMARRE CERRADO RTN
REFORMA (REA) | IN-79000 AMARRE CERRADO RTN
MEDANOS (MED) / ORIENTE XXI (OTV) | IN-73620 OTV CERRADO RTN
PATRIA (PAT) | IN-78460 ANILLO LT/T CERRADO RTN
NUEVO CASAS GRANDES (NCG) | IN-75010 CP 01 B CERRADO RTN
COLEGIO (CLG) / PASO DEL NORTE (PNR) | IN-73210 PNR Anormal Cambio Autorizado ABIERTO
PASO DEL NORTE (PNR) / COLEGIO (CLG) | IN-73210 CLG Anormal Cambio Autorizado ABIERTO
CHAMIZAL (CZL) / PASO DEL NORTE (PNR) | IN-73400 PNR Anormal Cambio Autorizado ABIERTO
PASO DEL NORTE (PNR) / CHAMIZAL (CZL) | IN-73400 CZL Anormal Cambio Autorizado ABIERTO
COLEGIO (CLG) / FUENTES (FTS) | IN-73220 FTS Anormal Cambio Autorizado ABIERTO
PARQUE (PQE) | IN-71030 UN 03 ABIERTO
MEDANOS (MED) / ORIENTE XXI (OTV) | IN-73620 OTV Anormal Cambio Autorizado ABIERTO
PATRIA (PAT) | IN-78460 ANILLO LT/T Anormal Cambio Autorizado ABIERTO
PARQUE (PQE) | IN-71030 UN 03 CERRADO RTN
NUEVO CASAS GRANDES (NCG) | IN-75010 CP 01 B Anormal Cambio Autorizado ABIERTO
NUEVO CASAS GRANDES (NCG) | IN-75010 CP 01 B CERRADO RTN
ASENCION DOS (AOD) | IN-75010 CP 01 B CERRADO RTN
TERRANOVA (TER) | IN-98390 AMARRE ABIERTO
TERRANOVA (TER) | IN-98390 AMARRE Cambio No Comandado CERRAD RTN
TERRANOVA (TER) | IN-98390 AMARRE Cambio No Comandado ABIERT
TERRANOVA (TER) | IN-98390 AMARRE Cambio No Comandado CERRAD RTN
TERRANOVA (TER) | IN-98390 AMARRE Cambio No Comandado ABIERT
TERRANOVA (TER) | IN-98390 AMARRE Cambio No Comandado CERRAD RTN
TERRANOVA (TER) | IN-98390 AMARRE Cambio No Comandado ABIERT
TERRANOVA (TER) | IN-98390 AMARRE CERRADO RTN
LA SALADA (LSA) | IN-72010 T-01 ABIERTO
LA SALADA (LSA) | IN-72010 T-01 Cambio No Comandado CERRAD RTN
LA SALADA (LSA) | IN-72010 T-01 Cambio No Comandado ABIERT
LA SALADA (LSA) | IN-72010 T-01 Cambio No Comandado CERRAD RTN
LA SALADA (LSA) | IN-72010 T-01 Cambio No Comandado ABIERT
LA SALADA (LSA) | IN-72010 T-01 CERRADO RTN
MEDANOS (MED) | IN-75030 CP 03 B ABIERTO
COLEGIO (CLG) / FUENTES (FTS) | IN-73220 FTS CERRADO RTN
MEDANOS (MED) / ORIENTE XXI (OTV) | IN-73620 OTV CERRADO RTN
PATRIA (PAT) | IN-78460 ANILLO LT/T CERRADO RTN
VALLE DE JUÁREZ (VJZ) | IN-42050 SP Anormal Cambio Autorizado ABIERTO
